YEAR,DOY,DOY_INT,PATH,USER,AREA,PIXELCOUNT,KC_COLD,KC_CLD_PCT,KC_HOT,KC_HOT_PCT,TS_COLD,TS_HOT,DT,NDVI_COLD,NDVI_HOT
2006,256,256,043,MB,CARSON/MASON,220058,1.04999995232,0.137691006064,0.10000000149,1.36917996407,298.486999512,322.713989258,24.2275009155,0.764729976654,0.130191996694
2006,272,272,043,MB,CARSON/MASON,221968,1.04999995232,0.513136982918,0.10000000149,0.443758010864,294.398986816,319.256011963,24.8568000793,0.808180987835,0.123130999506
2006,288,288,043,MB,CARSON/MASON,119160,1.04999995232,4.3487701416,0.10000000149,0.458207011223,279.037994385,301.600006104,22.5617008209,0.603956997395,0.116054996848
2006,336,336,043,MB,CARSON/MASON,151992,1.04999995232,4.87525987625,0.10000000149,0.0802673995495,276.455993652,285.194000244,8.73758029938,0.756385028362,0.093570202589
2006,064,64,043,MB,MASON/SMITH,126917,1.04999995232,6.39867019653,0.10000000149,0.044911198318,286.339996338,296.542999268,10.2027997971,0.711947023869,0.115079000592
2006,096,96,043,MB,MASON/SMITH,125997,1.04999995232,0.135718002915,0.10000000149,0.0484138987958,288.544006348,311.628997803,23.0851993561,0.753645002842,0.106478996575
2006,128,128,043,MB,MASON/SMITH,119550,1.04999995232,2.61062002182,0.10000000149,0.0175659004599,295.433013916,322.717010498,27.283700943,0.813592970371,0.0902030020952
2006,144,144,043,MB,MASON/SMITH,96271,1.04999995232,7.01352977753,0.10000000149,1.72430002689,293.877990723,322.287994385,28.4099998474,0.72096401453,0.102831996977
2006,160,160,043,MB,MASON/SMITH,126403,1.04999995232,4.01335000992,0.10000000149,0.0664540976286,298.486999512,329.006011963,30.518699646,0.840511977673,0.0918001011014
2006,176,176,043,MB,MASON/SMITH,92947,1.04999995232,1.89462995529,0.10000000149,4.9598197937,300.976989746,326.933990479,25.9577999115,0.803484976292,0.126903995872
2006,192,192,043,MB,MASON/SMITH,124729,1.04999995232,0.694305002689,0.10000000149,3.09791994095,299.986999512,329.411987305,29.4251995087,0.805769979954,0.146759003401
2006,208,208,043,MB,MASON/SMITH,122503,1.04999995232,0.386929005384,0.10000000149,0.0,300.976989746,336.640014648,35.6637992859,0.772378981113,0.122927002609
2006,224,224,043,MB,MASON/SMITH,122755,1.04999995232,0.0570241995156,0.10000000149,5.74395990372,297.476989746,326.097991943,28.620300293,0.827248990536,0.146006003022
2006,240,240,043,MB,MASON/SMITH,123342,1.04999995232,3.34597992897,0.10000000149,3.00465011597,298.989013672,326.516998291,27.5284996033,0.819549024105,0.129600003362
2006,256,256,043,MB,MASON/SMITH,125019,1.04999995232,0.00719891022891,0.10000000149,1.71894001961,298.486999512,322.713989258,24.2275009155,0.764729976654,0.130191996694
2006,272,272,043,MB,MASON/SMITH,126897,1.04999995232,0.646193027496,0.10000000149,0.423177987337,294.398986816,319.256011963,24.8568000793,0.808180987835,0.123130999506
